Ticker,Total_Score,Momentum_Score,Grading,Peak_Mark,Cum_Buy_%,Price,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term,Avg_Vol,Peak_Price
ARMH,45.75,34.21,60.57,17.8,49.5,144.9,41.13,51.59,51.59,51.59,68.38,100.0,5.45,3300,134.11
AAAU,45.73,23.16,52.93,100.0,52.83,42.57,57.23,51.17,48.14,46.52,34.0,77.21,46.68,1859766,54.71
APIE,45.39,34.29,50.54,64.03,50.36,37.69,50.49,52.32,52.32,52.32,32.88,77.0,40.26,50300,39.06
APLZ,45.17,35.12,42.24,100.0,52.42,18.63,47.39,55.16,57.12,51.11,51.02,50.0,22.95,226233,156.75
AAPX,45.14,35.61,48.5,66.51,45.02,36.24,30.4,48.11,48.11,48.11,38.16,95.73,5.45,34100,37.8
AMZO,44.99,26.47,48.81,100.0,52.32,17.34,49.82,52.95,52.95,52.95,69.79,50.0,22.95,4966,27.58
ALLW,44.54,24.96,56.4,63.58,49.9,29.3,58.5,43.32,43.25,44.15,28.23,89.52,50.62,497000,30.33
AAPW,44.43,33.95,50.08,58.13,49.59,41.04,51.69,49.07,49.07,49.07,40.63,94.06,9.79,11900,41.9
AVGE,44.21,25.43,56.33,58.73,46.86,96.98,54.7,44.6,45.21,47.08,31.43,96.57,38.45,56533,99.14
AQLT,44.07,33.66,48.81,61.99,49.9,30.75,45.76,50.94,50.94,50.94,19.3,91.35,33.61,13200,31.7
AUSF,43.55,21.72,58.38,56.76,51.25,49.26,61.89,47.01,47.01,47.01,53.01,78.78,40.86,66433,50.11
ASMU,42.92,37.86,43.72,59.19,47.28,30.19,42.54,50.29,50.29,50.29,55.24,50.0,22.95,65633,30.9
AMDG,42.72,23.86,46.35,100.0,46.31,94.94,38.68,50.41,51.64,51.27,27.76,100.0,5.45,85833,115.61
ABCS,42.63,26.26,54.66,47.99,53.62,32.61,53.62,53.62,53.62,53.62,58.21,73.81,28.18,1266,32.45
AHLT,42.3,28.85,46.98,72.67,66.48,28.8,66.48,66.48,66.48,66.48,12.09,97.41,28.85,11600,30.53
BGIG,42.16,17.0,60.1,53.13,55.95,35.2,43.2,58.01,58.14,56.11,35.73,92.17,51.13,114866,35.48
ASEA,41.41,27.79,46.11,72.42,51.05,19.54,53.44,53.11,53.11,53.11,22.46,86.81,26.22,34533,20.7
AAPY,41.33,24.83,51.68,55.58,52.77,26.78,52.77,52.77,52.77,52.77,38.83,93.38,18.03,4300,27.16
REVS,41.19,15.29,59.85,51.45,52.88,31.51,31.25,58.29,58.29,58.29,49.58,93.53,32.53,47466,31.63
AGG,41.15,22.92,52.39,57.83,54.81,98.17,64.88,51.27,41.36,49.72,67.82,25.02,66.33,9379033,100.13
